,Load [kWh/h],PV output [kWh/h,Prices [NOK/kWh]
0,1.98,0.0,0.25
1,1.94,0.0,0.25
2,2.67,0.0,0.25
3,1.92,0.0,0.25
4,1.78,0.0,0.25
5,1.83,0.0,0.25
6,1.35,0.0,0.26
7,1.51,0.0,0.26
8,1.52,0.0,0.26
9,2.09,0.0,0.26
10,1.52,0.0,0.26
11,2.84,0.0,0.26
12,2.26,0.0,0.26
13,3.75,0.0,0.26
14,2.44,0.0,0.26
15,4.44,0.0,0.26
16,2.26,0.0,0.26
17,3.5,0.0,0.26
18,3.66,0.0,0.26
19,2.51,0.0,0.26
20,2.04,0.0,0.26
21,3.58,0.0,0.26
22,2.51,0.0,0.26
23,2.23,0.0,0.26
24,3.62,0.0,0.25
25,1.59,0.0,0.26
26,1.6,0.0,0.25
27,1.64,0.0,0.26
28,1.92,0.0,0.26
29,2.15,0.0,0.26
30,1.73,0.0,0.26
31,1.64,0.0,0.26
32,1.64,0.0,0.26
33,1.61,0.0,0.26
34,2.3,0.0,0.26
35,1.68,0.0,0.26
36,1.65,0.0,0.26
37,1.97,0.01,0.26
38,2.75,0.0,0.26
39,2.09,0.0,0.26
40,2.42,0.0,0.26
41,3.64,0.0,0.26
42,3.0,0.0,0.26
43,4.38,0.0,0.26
44,2.87,0.0,0.26
45,4.81,0.0,0.26
46,4.83,0.0,0.26
47,3.79,0.0,0.26
48,2.64,0.0,0.25
49,1.82,0.0,0.25
50,2.34,0.0,0.25
51,1.71,0.0,0.25
52,1.52,0.0,0.25
53,1.59,0.0,0.25
54,2.29,0.0,0.25
55,1.61,0.0,0.25
56,1.69,0.0,0.25
57,3.02,0.0,0.26
58,2.88,0.0,0.26
59,3.36,0.0,0.26
60,2.41,0.0,0.26
61,1.91,0.0,0.26
62,3.08,0.0,0.26
63,2.45,0.0,0.26
64,3.1,0.0,0.26
65,4.54,0.0,0.27
66,2.98,0.0,0.27
67,5.08,0.0,0.27
68,4.57,0.0,0.26
69,2.15,0.0,0.26
70,3.21,0.0,0.26
71,2.25,0.0,0.26
72,2.28,0.0,0.26
73,2.27,0.0,0.26
74,1.52,0.0,0.26
75,1.59,0.0,0.26
76,2.21,0.0,0.26
77,1.66,0.0,0.26
78,1.77,0.0,0.26
79,2.34,0.0,0.26
80,4.57,0.0,0.26
81,3.3,0.0,0.26
82,3.36,0.0,0.26
83,2.09,0.0,0.26
84,2.55,0.0,0.26
85,4.65,0.0,0.26
86,2.39,0.0,0.26
87,2.76,0.0,0.26
88,3.84,0.0,0.27
89,4.33,0.0,0.27
90,5.0,0.0,0.27
91,3.93,0.0,0.27
92,2.91,0.0,0.27
93,2.59,0.0,0.27
94,3.08,0.0,0.27
95,2.18,0.0,0.26
96,2.58,0.0,0.27
97,1.72,0.0,0.26
98,1.72,0.0,0.26
99,1.69,0.0,0.27
100,1.85,0.0,0.27
101,2.23,0.0,0.28
102,2.26,0.0,0.29
103,3.72,0.0,0.3
104,2.51,0.0,0.33
105,1.57,0.0,0.33
106,1.56,0.0,0.33
107,1.72,0.01,0.32
108,2.2,0.0,0.32
109,1.72,0.0,0.32
110,1.96,0.0,0.32
111,2.4,0.0,0.33
112,3.97,0.0,0.33
113,2.62,0.0,0.32
114,4.11,0.0,0.32
115,3.44,0.0,0.31
116,3.25,0.0,0.31
117,2.9,0.0,0.31
118,3.88,0.0,0.3
119,2.48,0.0,0.28
120,2.33,0.0,0.27
121,2.39,0.0,0.27
122,1.75,0.0,0.27
123,1.69,0.0,0.27
124,1.66,0.0,0.27
125,2.17,0.0,0.27
126,1.61,0.0,0.27
127,2.18,0.0,0.27
128,3.09,0.0,0.28
129,1.97,0.0,0.28
130,2.69,0.0,0.28
131,1.76,0.0,0.28
132,1.81,0.0,0.27
133,1.83,0.0,0.27
134,3.92,0.0,0.27
135,3.01,0.0,0.28
136,3.05,0.0,0.28
137,3.9,0.0,0.28
138,3.68,0.0,0.28
139,3.17,0.0,0.27
140,2.87,0.0,0.27
141,3.86,0.0,0.27
142,3.73,0.0,0.26
143,2.23,0.0,0.25
144,1.68,0.0,0.25
145,2.24,0.0,0.24
146,1.62,0.0,0.24
147,1.5,0.0,0.24
148,1.64,0.0,0.25
149,1.75,0.0,0.26
150,2.32,0.0,0.28
151,2.87,0.0,0.31
152,3.7,0.0,0.31
153,2.35,0.0,0.31
154,1.48,0.0,0.31
155,2.18,0.01,0.31
156,1.57,0.01,0.31
157,1.53,0.01,0.31
158,2.02,0.0,0.31
159,2.67,0.0,0.33
160,1.8,0.0,0.33
161,2.71,0.0,0.33
162,4.25,0.0,0.33
163,2.52,0.0,0.31
164,2.67,0.0,0.29
165,3.08,0.0,0.28
166,5.28,0.0,0.26
167,4.07,0.0,0.25
168,2.22,0.0,0.25
169,1.6,0.0,0.24
170,1.75,0.0,0.24
171,2.31,0.0,0.24
172,1.5,0.0,0.24
173,1.55,0.0,0.24
174,1.57,0.0,0.26
175,3.26,0.0,0.27
176,1.66,0.0,0.27
177,1.66,0.0,0.27
178,2.3,0.0,0.27
179,1.54,0.02,0.27
180,1.54,0.02,0.27
181,1.6,0.01,0.27
182,1.56,0.0,0.28
183,2.43,0.0,0.28
184,1.99,0.0,0.29
185,2.01,0.0,0.3
186,2.29,0.0,0.29
187,3.2,0.0,0.28
188,3.45,0.0,0.27
189,2.48,0.0,0.26
190,3.11,0.0,0.25
191,1.89,0.0,0.25
192,1.78,0.0,0.24
193,2.38,0.0,0.24
194,1.63,0.0,0.23
195,1.55,0.0,0.24
196,1.58,0.0,0.24
197,2.2,0.0,0.24
198,1.59,0.0,0.25
199,2.27,0.0,0.26
200,2.28,0.0,0.27
201,1.74,0.0,0.26
202,1.6,0.0,0.27
203,1.67,0.01,0.27
204,1.99,0.01,0.28
205,1.99,0.01,0.27
206,2.0,0.0,0.26
207,2.21,0.0,0.27
208,4.95,0.0,0.27
209,4.52,0.0,0.28
210,3.94,0.0,0.28
211,3.4,0.0,0.27
212,3.36,0.0,0.26
213,3.15,0.0,0.26
214,3.54,0.0,0.25
215,2.57,0.0,0.24
216,3.19,0.0,0.25
217,2.03,0.0,0.25
218,2.32,0.0,0.24
219,2.1,0.0,0.25
220,1.81,0.0,0.25
221,1.79,0.0,0.25
222,1.84,0.0,0.25
223,2.53,0.0,0.26
224,1.89,0.0,0.26
225,1.81,0.0,0.26
226,3.46,0.0,0.26
227,2.96,0.01,0.26
228,3.4,0.0,0.26
229,3.16,0.0,0.25
230,2.59,0.0,0.25
231,3.4,0.0,0.25
232,3.27,0.0,0.25
233,3.84,0.0,0.26
234,3.66,0.0,0.25
235,3.71,0.0,0.25
236,4.37,0.0,0.25
237,4.26,0.0,0.25
238,5.21,0.0,0.24
239,3.59,0.0,0.24
240,2.15,0.0,0.24
241,2.88,0.0,0.24
242,1.97,0.0,0.24
243,1.89,0.0,0.24
244,2.03,0.0,0.24
245,2.57,0.0,0.24
246,2.16,0.0,0.24
247,2.33,0.0,0.24
248,2.23,0.0,0.24
249,2.97,0.0,0.24
250,3.04,0.0,0.25
251,4.26,0.01,0.25
252,4.35,0.01,0.25
253,2.3,0.01,0.25
254,3.12,0.0,0.25
255,2.33,0.0,0.25
256,2.32,0.0,0.26
257,3.91,0.0,0.26
258,4.94,0.0,0.26
259,2.9,0.0,0.26
260,2.89,0.0,0.26
261,3.47,0.0,0.26
262,2.95,0.0,0.25
263,3.37,0.0,0.25
264,2.88,0.0,0.26
265,2.58,0.0,0.26
266,2.64,0.0,0.25
267,2.51,0.0,0.26
268,3.19,0.0,0.26
269,2.52,0.0,0.25
270,3.38,0.0,0.27
271,4.04,0.0,0.31
272,3.57,0.0,0.31
273,3.08,0.0,0.31
274,1.96,0.0,0.28
275,2.01,0.01,0.27
276,1.95,0.01,0.27
277,2.83,0.0,0.27
278,4.22,0.0,0.26
279,4.78,0.0,0.27
280,4.0,0.0,0.27
281,3.18,0.0,0.27
282,4.16,0.0,0.27
283,5.63,0.0,0.26
284,5.09,0.0,0.26
285,5.59,0.0,0.25
286,3.85,0.0,0.25
287,2.45,0.0,0.24
288,2.56,0.0,0.26
289,2.15,0.0,0.25
290,1.93,0.0,0.25
291,1.96,0.0,0.26
292,1.83,0.0,0.26
293,2.48,0.0,0.27
294,1.81,0.0,0.29
295,2.03,0.0,0.32
296,2.03,0.0,0.33
297,2.67,0.0,0.32
298,2.92,0.0,0.32
299,2.37,0.02,0.31
300,3.28,0.03,0.31
301,3.89,0.02,0.31
302,1.87,0.01,0.31
303,1.95,0.0,0.32
304,3.22,0.0,0.33
305,3.85,0.0,0.38
306,2.43,0.0,0.38
307,2.98,0.0,0.34
308,2.68,0.0,0.29
309,2.77,0.0,0.28
